Text (font_utf8 to line-2-head), Tsuhibisa(1_24hours)________
緑茶+水+トマトジュース, thbs12651
[cooking]キュウリ napa トマト ピーマン、鍋　熱火。, thbs12651 
緑茶+湯+トマトジュース, thbs12651
緑ピーマン・ぶどう・河内晩柑・かぶ.葉・低浸透圧食, thbs12651
いずのはる　マグネシウム:カルシウム　マグネシウム　mg/100grams カルシウム　mg/100grams, thbs12651
ゴーヤ　マグネシウム:カルシウム　1:1。, thbs12651
ダイダイ（橙）（柑橘）　マグネシウム:カルシウム　1:1, thbs12651
かりん　マグネシウム:カルシウム　1:1, thbs12651
グァバ（赤）　マグネシウム:カルシウム　1:1, thbs12651
グァバ（白）　マグネシウム:カルシウム　1:1, thbs12651
へちま　マグネシウム:カルシウム　1:1, thbs12651
かりん　浸透圧　n mosm/L, thbs12651
ゴーヤ　浸透圧　n mosm/L, thbs12651
ダイダイ（橙）　浸透圧　n mosm/L, thbs12651
グァバ（赤）　浸透圧　n mosm/L, thbs12651
グァバ（白）　浸透圧　n mosm/L, thbs12651
はくりきこ　牛乳　卵　水　チーズ、チーズパン。, thbs12651
長崎白菜、マグネシウム 27mg/100grams・カルシウム 140mg/100grams、Kカリウム　300mg/100grams。, thbs12651
おから　ごま　わさび、パン。, thbs12651
おから納豆。ボウル　納豆+おから。, thbs12651
ナス小実紫✅　ナス小実茎葉✅, thbs12651
[cooking]うどん　油、熱火、白菜・ナス小実紫.茎葉・かぶ.葉　ごま、熱火。納豆。, thbs12651
パン　あんこ　バター, thbs12651
キュウリ.実+ジューシーオレンジ.タネ+土, thbs12651
マーマレードと水　05:nn~, thbs12652
ばあ　小木食った　はらへった　マグカ果実　ジューシーオレンジ　マグいも　ナス茎葉 m., thbs12652
コンビニエンスストア　湯　24hours, thbs12652
コンビニエンスストア　穴紅茶　24hours, thbs12652
トマトジュース　と　河内晩柑ジュース、トマトジュース　と　河内晩柑ジュース　と　水。, thbs12652
カブ.葉な山, thbs12652
カブ.葉な山　カブ.葉液な川。, thbs12652
からし菜な山　からし菜液な川。, thbs12652
からし菜と鶏卵　な　川, thbs12652
たまごチーズバーガー, thbs12652
